"","LearningPlatformUsefulnessArxiv","LearningPlatformUsefulnessBlogs","LearningPlatformUsefulnessCollege","LearningPlatformUsefulnessCompany","LearningPlatformUsefulnessConferences","LearningPlatformUsefulnessFriends","LearningPlatformUsefulnessKaggle","LearningPlatformUsefulnessNewsletters","LearningPlatformUsefulnessCommunities","LearningPlatformUsefulnessDocumentation","LearningPlatformUsefulnessCourses","LearningPlatformUsefulnessProjects","LearningPlatformUsefulnessPodcasts","LearningPlatformUsefulnessSO","LearningPlatformUsefulnessTextbook","LearningPlatformUsefulnessTradeBook","LearningPlatformUsefulnessTutoring","LearningPlatformUsefulnessYouTube","CurrentJobTitleSelect","MLMethodNextYearSelect","WorkChallengeFrequencyPolitics","WorkChallengeFrequencyUnusedResults","WorkChallengeFrequencyUnusefulInstrumenting","WorkChallengeFrequencyDeployment","WorkChallengeFrequencyDirtyData","WorkChallengeFrequencyExplaining","WorkChallengeFrequencyPass","WorkChallengeFrequencyIntegration","WorkChallengeFrequencyTalent","WorkChallengeFrequencyDataFunds","WorkChallengeFrequencyDomainExpertise","WorkChallengeFrequencyML","WorkChallengeFrequencyTools","WorkChallengeFrequencyExpectations","WorkChallengeFrequencyITCoordination","WorkChallengeFrequencyHiringFunds","WorkChallengeFrequencyPrivacy","WorkChallengeFrequencyScaling","WorkChallengeFrequencyEnvironments","WorkChallengeFrequencyClarity","WorkChallengeFrequencyDataAccess","WorkChallengeFrequencyOtherSelect","WorkInternalVsExternalTools","FormalEducation"
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Somewhat useful","Very useful","Somewhat useful","Very useful",NA,"Very useful","Very useful",NA,"Somewhat useful","Very useful","Very useful","Very useful",NA,"Very useful","Somewhat useful",NA,NA,"Somewhat useful","Data Scientist","Deep learning",NA,NA,NA,NA,"Often","Rarely",NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,"Most of the time",NA,NA,"Often","Most of the time",NA,"More internal than external","Doctoral degree"
"74",NA,"Somewhat useful","Very useful",NA,NA,NA,"Very useful",NA,NA,NA,"Very useful","Very useful",NA,"Somewhat useful","Very useful",NA,NA,NA,NA,"Social Network Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Doctoral degree"
"75",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful","Very useful",NA,NA,NA,NA,NA,NA,"Engineer","Ensemble Methods (e.g. boosting, bagging)",NA,"Often",NA,NA,NA,"Most of the time",NA,NA,NA,NA,NA,NA,NA,"Most of the time",NA,NA,NA,NA,NA,NA,NA,NA,"More internal than external","Doctoral degree"
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,"Scientist/Researcher","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,"More internal than external","Doctoral degree"
"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,"Time Series Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor's degree"
"78","Somewhat useful",NA,NA,NA,NA,NA,"Very useful",NA,NA,"Very useful","Very useful",NA,NA,"Very useful",NA,NA,NA,"Very useful","Data Scientist","Deep learning",NA,NA,NA,NA,"Sometimes","Often",NA,NA,NA,"Most of the time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Entirely external","Master's degree"
"79","Very useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,"Data Scientist","Deep learning",NA,NA,NA,"Sometimes","Often",NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,"Sometimes",NA,"Entirely internal","Master's degree"
"80",NA,"Somewhat useful",NA,NA,NA,NA,"Somewhat useful",NA,NA,"Somewhat useful","Very useful",NA,NA,"Somewhat useful",NA,NA,NA,"Somewhat useful","Software Developer/Software Engineer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master's degree"
"81",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,"Somewhat useful","Very useful",NA,NA,"Engineer","Neural Nets","Most of the time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"More external than internal","Master's degree"
"82",NA,"Somewhat useful",NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Somewhat useful",NA,NA,"Somewhat useful","Somewhat useful",NA,NA,"Somewhat useful","Other","Regression","Often",NA,NA,NA,NA,NA,NA,NA,"Often",NA,"Often",NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Entirely internal","Master's degree"
"83",NA,"Very useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful","Machine Learning Engineer","Deep learning",NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Most of the time",NA,NA,NA,NA,"Often",NA,NA,"More internal than external","Bachelor's degree"
"84","Very useful","Very useful",NA,NA,"Somewhat useful",NA,"Somewhat useful",NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scientist/Researcher","Time Series Analysis",NA,NA,NA,NA,NA,NA,"Rarely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"More internal than external","Professional degree"
"85",NA,"Somewhat useful",NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor's degree"
"86",NA,"Somewhat useful","Very useful",NA,"Very useful",NA,"Very useful",NA,NA,NA,"Very useful","Very useful",NA,"Somewhat useful",NA,NA,NA,"Somewhat useful",NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor's degree"
"87",NA,"Very useful",NA,"Somewhat useful","Very useful",NA,NA,NA,NA,NA,"Very useful",NA,NA,"Somewhat useful",NA,NA,NA,NA,"Scientist/Researcher","Ensemble Methods (e.g. boosting, bagging)","Sometimes",NA,"Often",NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,"Often","Often",NA,NA,NA,"Often","Often","Often",NA,"Approximately half internal and half external","Doctoral degree"
"88",NA,NA,"Very useful",NA,"Somewhat useful",NA,"Somewhat useful",NA,NA,NA,NA,"Very useful",NA,"Very useful","Somewhat useful",NA,NA,"Somewhat useful","Other","Other","Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"More external than internal","Master's degree"
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",NA,"Very useful",NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,"Very useful","Very useful",NA,NA,NA,"Predictive Modeler","Bayesian Methods",NA,NA,NA,NA,"Most of the time",NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,"Entirely internal","Master's degree"
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Random Forests",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genetic & Evolutionary Algorithms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Some college/university study without earning a bachelor's degree"
"96",NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,"Not Useful","Very useful",NA,"Very useful",NA,NA,NA,"Very useful","Scientist/Researcher","Neural Nets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often","Approximately half internal and half external","Doctoral degree"
"97",NA,"Somewhat useful",NA,NA,NA,NA,"Somewhat useful",NA,"Very useful",NA,"Very useful",NA,NA,"Not Useful",NA,NA,NA,"Not Useful","DBA/Database Engineer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor's degree"
"98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,"Social Network Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor's degree"
"99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,"Very useful","Data Scientist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master's degree"
"100","Somewhat useful","Somewhat useful","Somewhat useful",NA,NA,"Somewhat useful","Not Useful","Not Useful",NA,"Very useful","Very useful","Somewhat useful","Very useful","Very useful","Very useful",NA,NA,"Somewhat useful","Researcher","Social Network Analysis",NA,NA,"Sometimes",NA,NA,NA,NA,NA,"Sometimes","Sometimes",NA,NA,NA,NA,NA,NA,"Sometimes",NA,NA,NA,"Sometimes",NA,"More internal than external","Doctoral degree"
"101",NA,NA,"Very useful",NA,"Somewhat useful",NA,"Very useful",NA,NA,NA,NA,"Somewhat useful",NA,NA,"Somewhat useful",NA,NA,NA,"Business Analyst","Neural Nets",NA,NA,NA,NA,"Often",NA,NA,"Often",NA,"Sometimes",NA,NA,NA,NA,NA,"Often",NA,NA,"Sometimes","Often","Often",NA,"Do not know","Bachelor's degree"
"102",NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,"Somewhat useful","Somewhat useful",NA,NA,"Very useful","Somewhat useful",NA,NA,NA,NA,"Monte Carlo Methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor's degree"
"103",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,"Very useful",NA,NA,NA,"Very useful","Software Developer/Software Engineer","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor's degree"
"104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful","Very useful",NA,NA,NA,NA,NA,NA,NA,"Time Series Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor's degree"
"105",NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful","Somewhat useful",NA,NA,NA,NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I did not complete any formal education past high school"
"106",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor's degree"
"107",NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Predictive Modeler","Text Mining",NA,"Often",NA,NA,NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Approximately half internal and half external","Doctoral degree"
"108",NA,"Very useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,"Very useful",NA,"Very useful","Very useful",NA,NA,NA,NA,"Social Network Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master's degree"
"109",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Somewhat useful","Very useful",NA,NA,NA,NA,NA,NA,"Software Developer/Software Engineer","Time Series Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master's degree"
"110",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,"Somewhat useful","Somewhat useful",NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master's degree"
"111","Very useful",NA,NA,NA,NA,NA,"Very useful",NA,NA,"Very useful","Very useful","Somewhat useful","Somewhat useful","Somewhat useful","Very useful",NA,NA,"Somewhat useful","Data Scientist","Regression","Often",NA,NA,"Often","Most of the time","Sometimes",NA,NA,"Most of the time",NA,"Often","Sometimes",NA,"Sometimes","Most of the time",NA,"Most of the time",NA,NA,NA,"Often",NA,"Entirely internal","Master's degree"
"112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,"Somewhat useful",NA,NA,NA,"Somewhat useful","Other","Monte Carlo Methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor's degree"
"113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful","Data Analyst","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"More internal than external","Master's degree"
"114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful","Very useful",NA,NA,NA,NA,NA,"Very useful",NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master's degree"
"115",NA,"Somewhat useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,"Machine Learning Engineer","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master's degree"
"116",NA,"Somewhat useful","Somewhat useful",NA,NA,NA,"Very useful",NA,NA,NA,"Somewhat useful",NA,NA,NA,"Somewhat useful",NA,NA,NA,"Engineer","Anomaly Detection",NA,NA,"Often",NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,"Often",NA,NA,"Entirely internal","Master's degree"
"117",NA,"Somewhat useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Very useful",NA,"Social Network Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master's degree"
"118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neural Nets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor's degree"
"119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master's degree"
"120",NA,"Very useful",NA,"Very useful",NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful","Data Analyst","Cluster Analysis","Often",NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,"Rarely","Sometimes",NA,NA,NA,NA,NA,NA,"More internal than external","Bachelor's degree"
"121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",NA,NA,NA,"Very useful",NA,NA,"Very useful",NA,NA,NA,NA,"Very useful",NA,"Somewhat useful",NA,NA,NA,NA,"Software Developer/Software Engineer","Proprietary Algorithms","Sometimes",NA,NA,NA,"Often","Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Entirely internal","Professional degree"
"123",NA,"Somewhat useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,"Somewhat useful",NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor's degree"
"124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,"Researcher","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Some college/university study without earning a bachelor's degree"
"125",NA,"Very useful","Somewhat useful",NA,NA,NA,"Somewhat useful","Somewhat useful","Somewhat useful",NA,NA,"Somewhat useful",NA,"Very useful","Somewhat useful",NA,NA,"Very useful",NA,"Random Forests",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I did not complete any formal education past high school"
"126",NA,"Very useful",NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Very useful",NA,NA,"Somewhat useful",NA,NA,NA,"Somewhat useful",NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor's degree"
"127",NA,NA,"Very useful",NA,NA,"Very useful","Somewhat useful",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,"Very useful","Somewhat useful","Data Analyst","Factor Analysis","Sometimes","Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,"Sometimes","Sometimes",NA,"More internal than external","Master's degree"
"128",NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Computer Scientist","Neural Nets",NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,"Do not know","Master's degree"
"129",NA,NA,"Very useful",NA,NA,NA,"Somewhat useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,"Somewhat useful",NA,"Data Scientist","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master's degree"
"130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,"Ensemble Methods (e.g. boosting, bagging)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master's degree"
"131",NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,"Somewhat useful","Very useful",NA,NA,"Very useful","Scientist/Researcher","Text Mining",NA,"Often",NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,"Sometimes",NA,NA,NA,"Most of the time",NA,NA,NA,NA,NA,"More internal than external","Master's degree"
"132",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,"Data Scientist","Text Mining",NA,NA,NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know","Bachelor's degree"
"133",NA,NA,NA,NA,NA,"Somewhat useful","Very useful",NA,"Very useful","Somewhat useful","Somewhat useful",NA,NA,"Very useful",NA,NA,NA,"Somewhat useful","Researcher","Anomaly Detection","Often",NA,NA,NA,"Sometimes",NA,"Most of the time",NA,"Often",NA,NA,"Most of the time","Most of the time",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Entirely internal","Bachelor's degree"
"134",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Business Analyst","Bayesian Methods",NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Entirely internal","Master's degree"
"135",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,"Data Scientist","Neural Nets",NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Most of the time","Sometimes",NA,NA,NA,NA,NA,"Entirely internal","Bachelor's degree"
"136","Very useful",NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,"Somewhat useful",NA,NA,"Very useful",NA,"Programmer","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,"Entirely internal","Bachelor's degree"
"137",NA,NA,"Very useful",NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,"Very useful","Very useful",NA,"Cluster Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor's degree"
"138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,"Business Analyst","Monte Carlo Methods",NA,NA,NA,"Sometimes",NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,"Most of the time",NA,NA,NA,NA,NA,NA,"Entirely internal","Some college/university study without earning a bachelor's degree"
"139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Most of the time","Approximately half internal and half external","Bachelor's degree"
"140",NA,NA,"Very useful",NA,NA,"Somewhat useful","Very useful",NA,"Very useful",NA,"Very useful","Very useful",NA,"Very useful","Somewhat useful",NA,NA,NA,NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master's degree"
"141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,"Very useful","Business Analyst","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor's degree"
"142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",NA,"Somewhat useful",NA,NA,NA,"Somewhat useful","Somewhat useful",NA,NA,NA,NA,"Somewhat useful",NA,"Somewhat useful",NA,NA,"Somewhat useful",NA,"Engineer","Time Series Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master's degree"
"144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor's degree"
"145",NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scientist/Researcher","Cluster Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Some college/university study without earning a bachelor's degree"
"146",NA,"Somewhat useful",NA,NA,"Somewhat useful",NA,NA,"Somewhat useful",NA,"Somewhat useful","Very useful","Very useful","Somewhat useful","Somewhat useful",NA,NA,NA,"Very useful","Data Analyst","Neural Nets","Most of the time","Most of the time",NA,NA,"Most of the time","Often",NA,"Often","Most of the time","Often",NA,NA,"Most of the time",NA,"Most of the time","Often","Most of the time","Often",NA,NA,"Often",NA,"More internal than external","Doctoral degree"
"147",NA,"Very useful",NA,NA,NA,"Very useful","Very useful",NA,NA,NA,"Very useful","Very useful","Somewhat useful","Somewhat useful","Somewhat useful",NA,"Very useful","Somewhat useful","Data Scientist","Neural Nets","Often","Often","Often",NA,NA,NA,NA,NA,"Most of the time",NA,NA,"Most of the time",NA,NA,"Most of the time","Most of the time",NA,"Most of the time",NA,NA,NA,NA,"Do not know","Some college/university study without earning a bachelor's degree"
"148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,"Very useful",NA,NA,NA,NA,NA,"Neural Nets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master's degree"
"149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful","Somewhat useful",NA,NA,NA,NA,"Neural Nets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor's degree"
